I0112 03:58:08.785103   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4301532002 (command=in:imuxsock): could not find cgroup description entry for pid 20286, set containerID=system_processes
I0112 03:58:08.785257   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=ksoftirqd/2): could not find cgroup description entry for pid 25, set containerID=system_processes
I0112 03:58:08.785289   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294970177 (command=kube-proxy): could not find cgroup description entry for pid 6574, set containerID=system_processes
I0112 03:58:08.785310   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4297050407 (command=calico-node): failed to open cgroup description file for pid 32730: open /proc/32730/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.785395   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967777 (command=systemd-udevd): could not find cgroup description entry for pid 611, set containerID=system_processes
I0112 03:58:08.785436   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=kworker/2:1H): could not find cgroup description entry for pid 343, set containerID=system_processes
I0112 03:58:08.785493   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=ksoftirqd/1): could not find cgroup description entry for pid 18, set containerID=system_processes
I0112 03:58:08.785557   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967312 (command=systemd): could not find cgroup description entry for pid 1, set containerID=system_processes
I0112 03:58:08.785626   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=kworker/1:1H): could not find cgroup description entry for pid 185, set containerID=system_processes
I0112 03:58:08.785669   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=kworker/2:0): could not find cgroup description entry for pid 58077, set containerID=system_processes
I0112 03:58:08.785765   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=migration/2): could not find cgroup description entry for pid 24, set containerID=system_processes
I0112 03:58:08.785836   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4297050407 (command=calico-node): failed to open cgroup description file for pid 32729: open /proc/32729/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.785921   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=rcu_sched): could not find cgroup description entry for pid 10, set containerID=system_processes
I0112 03:58:08.785976   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967777 (command=systemd-udevd): failed to open cgroup description file for pid 32585: open /proc/32585/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.786053   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967777 (command=systemd-udevd): failed to open cgroup description file for pid 32541: open /proc/32541/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.786097   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=migration/0): could not find cgroup description entry for pid 11, set containerID=system_processes
I0112 03:58:08.786138   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294968452 (command=udisksd): could not find cgroup description entry for pid 961, set containerID=system_processes
I0112 03:58:08.786166   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967777 (command=systemd-udevd): failed to open cgroup description file for pid 32551: open /proc/32551/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.786191   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=swapper/2): failed to open cgroup description file for pid 0: open /proc/0/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.786290   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967807 (command=multipathd): could not find cgroup description entry for pid 737, set containerID=system_processes
I0112 03:58:08.786381   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294969952 (command=runc): failed to open cgroup description file for pid 32690: open /proc/32690/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.786410   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967777 (command=systemd-udevd): failed to open cgroup description file for pid 32545: open /proc/32545/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.786433   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294969952 (command=runc:[2:INIT]): failed to open cgroup description file for pid 32709: open /proc/32709/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.786453   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294969952 (command=runc): failed to open cgroup description file for pid 32699: open /proc/32699/cgroup: no such file or directory, set containerID=system_processes
I0112 03:58:08.786510   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294968062 (command=systemd-network): could not find cgroup description entry for pid 817, set containerID=system_processes
I0112 03:58:08.786590   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294968422 (command=systemd-logind): could not find cgroup description entry for pid 959, set containerID=system_processes
I0112 03:58:08.786674   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294968152 (command=dbus-daemon): could not find cgroup description entry for pid 892, set containerID=system_processes
I0112 03:58:08.786724   42950 container_hc_collector.go:125] failed to resolve container for cGroup ID 4294967297 (command=ksoftirqd/0): could not find cgroup description entry for pid 9, set containerID=system_processes
